Time,Gravity Acceleration,Angular Velocity,Linear Acceleration
1.18,"(9.75, -0.88, 0.63)","(0.57, -0.08, -0.18)","(0.0, -0.05, 0.06)"
1.2,"(9.75, -0.89, 0.62)","(0.4, -0.43, -0.12)","(-0.03, -0.08, 0.34)"
1.22,"(9.75, -0.9, 0.61)","(0.39, -0.43, -0.09)","(-0.01, 0.01, 0.03)"
1.24,"(9.75, -0.93, 0.62)","(0.36, -0.48, 0.19)","(-0.03, 0.16, 0.23)"
1.26,"(9.74, -1.0, 0.67)","(0.8, -0.69, 0.43)","(-0.07, 0.03, 0.54)"
1.28,"(9.73, -1.03, 0.7)","(0.45, -0.24, 0.19)","(0.07, -0.01, -0.66)"
1.3,"(9.72, -1.06, 0.73)","(0.54, -0.18, 0.11)","(0.01, -0.11, -0.09)"
1.32,"(9.72, -1.07, 0.75)","(0.49, -0.09, 0.02)","(0.02, 0.0, -0.16)"
1.34,"(9.72, -1.06, 0.76)","(0.45, 0.01, -0.1)","(0.03, 0.0, -0.2)"
1.36,"(9.72, -1.05, 0.76)","(0.45, 0.13, -0.13)","(0.03, -0.05, -0.18)"
1.38,"(9.72, -1.04, 0.76)","(0.41, 0.24, -0.15)","(0.03, -0.03, -0.18)"
1.4,"(9.72, -1.02, 0.84)","(0.87, 1.11, -0.26)","(0.09, -0.19, -0.72)"
1.42,"(9.72, -1.02, 0.85)","(0.33, 0.44, -0.04)","(-0.07, 0.28, 0.49)"
1.44,"(9.72, -1.02, 0.86)","(0.32, 0.41, -0.02)","(0.0, 0.03, -0.04)"
1.46,"(9.72, -1.02, 0.86)","(0.0, 0.0, 0.0)","(70.13, 0.21, 8.4)"
1.48,"(9.73, -1.0, 0.76)","(0.31, -0.07, -0.14)","(-140.32, -0.31, -16.31)"
1.5,"(9.73, -1.0, 0.71)","(0.07, -0.38, -0.24)","(70.11, -0.12, 8.59)"
1.52,"(9.74, -0.91, 0.68)","(0.09, -0.83, -0.53)","(-0.1, 0.14, 0.88)"
1.54,"(9.75, -0.83, 0.63)","(-0.34, -0.4, -0.1)","(0.08, 0.77, -0.7)"
1.56,"(9.77, -0.75, 0.54)","(-0.78, -0.65, 0.04)","(-0.01, 0.25, -0.01)"
1.58,"(9.77, -0.7, 0.46)","(-0.79, -0.5, 0.09)","(0.02, -0.14, -0.19)"
1.6,"(9.78, -0.71, 0.37)","(-0.95, -0.35, 0.37)","(0.04, 0.02, -0.35)"
1.62,"(9.78, -0.73, 0.29)","(-0.97, -0.27, 0.26)","(0.01, -0.22, -0.06)"
1.64,"(9.78, -0.75, 0.21)","(-0.95, -0.16, 0.15)","(0.02, -0.26, -0.09)"
1.66,"(9.78, -0.81, 0.04)","(-1.92, -0.3, 0.12)","(0.08, -0.19, -0.67)"
1.68,"(9.77, -0.84, -0.05)","(-0.84, -0.12, 0.08)","(-0.06, -0.03, 0.46)"
1.7,"(9.77, -0.89, -0.13)","(-0.8, 0.01, 0.11)","(0.01, -0.13, -0.15)"
1.72,"(9.76, -0.95, -0.2)","(-0.65, 0.02, 0.12)","(-0.01, -0.2, 0.09)"
1.74,"(9.76, -1.0, -0.26)","(-0.51, 0.13, 0.02)","(0.0, 0.0, -0.12)"
1.76,"(9.75, -1.0, -0.3)","(-0.34, 0.37, -0.18)","(0.01, 0.02, -0.32)"
1.78,"(9.76, -0.95, -0.3)","(-0.17, 1.44, -0.29)","(0.04, 0.24, -1.53)"
1.8,"(9.76, -0.91, -0.24)","(0.29, 0.88, -0.15)","(-0.1, 0.18, 1.5)"
1.82,"(9.77, -0.87, -0.15)","(0.55, 1.22, -0.29)","(-0.01, -0.12, -0.4)"
1.84,"(9.77, -0.83, -0.11)","(0.5, 0.8, -0.04)","(-0.03, 0.29, 0.37)"
1.86,"(9.78, -0.82, -0.12)","(0.71, 0.37, 0.42)","(-0.03, 0.66, 0.21)"
1.88,"(9.78, -0.82, -0.12)","(0.0, 0.0, 0.0)","(91.19, 2.83, -0.65)"
1.9,"(9.78, -0.82, -0.12)","(0.0, 0.0, 0.0)","(0.98, 0.04, -0.02)"
1.92,"(9.78, -0.82, -0.12)","(0.0, 0.0, 0.0)","(0.98, 0.04, -0.02)"
1.94,"(9.78, -0.82, -0.12)","(0.0, 0.0, 0.0)","(0.98, 0.04, -0.02)"
1.96,"(9.78, -0.82, -0.12)","(0.0, 0.0, 0.0)","(0.98, 0.04, -0.02)"
1.98,"(9.77, -0.86, -0.22)","(2.79, -1.14, -0.37)","(-560.54, -24.13, 10.36)"
2.0,"(9.76, -0.92, -0.2)","(0.61, -0.68, 0.32)","(465.46, 20.16, -7.24)"
2.02,"(9.76, -0.98, -0.16)","(0.59, -0.37, 0.32)","(-0.02, 0.1, -0.39)"
2.04,"(9.76, -1.02, -0.13)","(0.65, -0.24, 0.16)","(0.01, -0.26, -0.34)"
2.06,"(9.75, -1.05, -0.12)","(0.32, -0.11, 0.07)","(0.01, 0.09, -0.45)"
2.08,"(9.75, -1.05, -0.11)","(0.64, -0.02, -0.11)","(0.01, -0.16, -0.2)"
2.1,"(9.75, -1.04, -0.11)","(0.57, 0.15, -0.17)","(0.02, -0.06, -0.42)"
2.12,"(9.75, -1.04, -0.11)","(0.54, 0.31, -0.2)","(0.01, -0.09, -0.4)"
2.14,"(9.75, -1.04, -0.08)","(0.27, 0.38, -0.07)","(-0.01, 0.23, 0.13)"
2.16,"(9.75, -1.04, -0.03)","(0.58, 0.83, -0.16)","(0.01, -0.21, -0.66)"
2.18,"(9.75, -1.05, -0.03)","(0.41, 0.54, -0.02)","(-0.02, 0.21, 0.06)"
2.2,"(9.75, -1.05, -0.07)","(0.29, 0.16, -0.08)","(-0.01, 0.09, 0.27)"
2.22,"(9.75, -1.04, -0.11)","(0.09, -0.06, -0.05)","(0.0, 0.08, 0.54)"
2.24,"(9.75, -1.03, -0.18)","(0.1, -0.41, -0.27)","(0.0, -0.42, 0.4)"
2.26,"(9.76, -1.0, -0.23)","(0.05, -0.57, -0.36)","(0.0, -0.02, 0.66)"
2.28,"(9.76, -0.94, -0.21)","(0.04, -0.24, -0.16)","(-0.01, 0.76, -0.05)"
2.3,"(9.77, -0.82, -0.21)","(-0.66, -0.74, -0.1)","(-0.04, 0.88, 1.05)"
2.32,"(9.78, -0.73, -0.24)","(-1.03, -0.82, 0.05)","(-0.03, 0.05, -0.2)"
2.34,"(9.78, -0.73, -0.28)","(-1.26, -0.59, 0.41)","(0.0, -0.04, -0.73)"
