,Angular-X,Angular-Y,Angular-Z,Linear-X,Linear-Y,Linear-Z,Activity,Angular-Magnitude,Linear-Magnitude,Angular-Var,Linear-Var,Total-Magnitude,Angular-FFT-Strength,Angular-FFT-Phase,Linear-FFT-Strength,Linear-FFT-Phase
0,-0.1965201199054718,0.1004738509654998,0.1265127956867218,9.585962842300637,-0.2673402253782054,-1.428418093325602,walking,0.25440251517618434,9.695490325889338,0.032205618321982606,36.62537842567555,9.949892841065523,0.030466526746749795,0.3108325191577416,7.890204523596829,10.482181799464586
1,-0.2177092730998993,0.0739881619811058,0.1327452510595321,9.580638213092756,-0.1342461150709573,-1.493532349154494,walking,0.265504947949915,9.697282581607888,0.035226360442270135,36.47731503625225,9.962787529557804,0.010975860059261378,0.3250831913938499,7.952859748867305,10.460972474333195
2,-0.2314111292362213,0.0573739521205425,0.134756401181221,9.509701913616476,0.1753973132579307,-1.5874884226356838,walking,0.27386523834840304,9.642889307429662,0.03724392116147829,35.564106974850034,9.916754545778065,0.03928077593445781,0.3342630154301173,8.097610804238723,10.329197496637871
3,-0.2310923337936401,0.0308734700083732,0.1056293547153472,9.353179734476203,0.6387755247150083,-1.8164730514077032,walking,0.25595780602694995,9.549323518599717,0.031266003362050133,34.45503827647673,9.805281324626668,0.0945895090699197,0.30626460795552335,8.175482207783508,10.166863568939547
4,-0.2692700326442718,-0.023763196542859,0.0497200787067413,9.437777406798356,0.9043343282630308,-1.9865280542410195,walking,0.2748510982637441,9.686885808547299,0.027904681575611035,35.28191522605226,9.961736906811042,0.24331315048038948,0.28933379465045744,8.355583680820367,10.28813616152881
5,-0.2951302826404571,-0.0244432110339403,0.0126773798838257,9.515418355162293,0.7896241881366987,-1.8212311966934227,walking,0.2964119941193417,9.720266246562353,0.028232497685609738,35.24594545789746,10.016678240681696,0.3068961137905717,0.2910283372058969,8.483811346605568,10.282890467844748
6,-0.3837692439556122,-0.0236739218235015,0.0073322909884154,9.737041661221534,0.5656594266156444,-1.890319516474421,walking,0.38456865404230006,9.934951372485274,0.04726507281499015,37.55693543645623,10.319520026527574,0.4001108747906983,0.3765570586842988,8.412381571362758,10.614650550506536
7,-0.4344070553779602,-0.0038943735416978,0.0370735302567482,9.940836135931374,0.2442194729313066,-1.9214591216924772,walking,0.4360035579592562,10.12777721855754,0.06821891349898954,39.90476454390459,10.563780776516797,0.4012278986629098,0.45239003138549444,8.263596487170203,10.941402726877103
8,-0.4851400852203369,0.0061053447425365,0.0857756063342094,10.017656927000512,0.0345258900133997,-1.8523085822948773,walking,0.4927023768605366,10.187526168221892,0.09560235831744997,40.68652180323473,10.680228545082429,0.39325913414359104,0.5355437189925301,8.199874234719035,11.048057087547301
9,-0.5533967018127441,0.0090449145063757,0.1324816048145294,10.079812611518896,-0.0186442062246988,-1.7191639684960809,walking,0.5691055224383998,10.22538481624708,0.13366770663063188,40.68107431624159,10.794490338685481,0.41187018249183904,0.6332480713684769,8.342004436798117,11.047317454872237
10,-0.6084179878234863,0.0027778637595474,0.1859576553106308,10.110289948854556,0.0963229804765374,-1.7381670952149528,walking,0.6362078386839272,10.259067492582615,0.17302464457162506,40.67180376778949,10.895275331266541,0.41968246875330817,0.7204678575168189,8.46844583411614,11.046058632080877
11,-0.6384168863296509,-0.0051752021536231,0.2426166832447052,10.004155384362424,0.1981641274179142,-1.8397415897145848,walking,0.6829829854812189,10.173841117925349,0.20643599996071368,40.098069962623995,10.856824103406568,0.4009754052385688,0.7869612442059273,8.362577922065753,10.967871711862426
12,-0.6685635447502136,0.0094332238659262,0.3201777338981628,9.76314787070318,0.2770540204206914,-1.5673676261066674,walking,0.7413366174455692,9.892040060109672,0.25564184747872143,36.96140819499902,10.63337667755524,0.3389525869861246,0.8757428517756592,8.472834265017205,10.530157861352176
13,-0.6905851364135742,0.0914290323853492,0.3641672134399414,9.8519047816896,0.6530967679901606,-1.440599895105136,walking,0.7860565233765877,9.978070518572943,0.2997391325214587,36.08704941089807,10.764127041949532,0.2349888905882836,0.9482707406455058,9.064401654574624,10.404861759422571
14,-0.7155157923698425,0.1768965423107147,0.3563638627529144,9.60691429925239,1.068712675855825,-1.728715421713232,walking,0.8186882425492064,9.819542053781536,0.3295890482104644,34.870498682279944,10.638230296330743,0.1822553873062135,0.9943677109758711,8.946911553394983,10.227976146180625
15,-0.7182590365409851,0.2276036441326141,0.2974195778369903,9.229750628186403,1.2363694264213474,-1.9097718802416,walking,0.8100357200000278,9.506005188913916,0.3218555871658042,32.98021831233266,10.316040908913944,0.19323581457138073,0.982632566882155,8.556348174366152,9.946891722392374
16,-0.704871416091919,0.2797627747058868,0.2106072902679443,8.968761598607784,1.3494909684467438,-2.060206355096262,walking,0.7870618489347391,9.300766673353333,0.3020647054190375,31.8862424829403,10.087828522288072,0.21450135111808788,0.951942286200751,8.258046211958266,9.780527973929674
17,-0.6300640106201172,0.3200064599514007,0.0905966609716415,9.127630998513794,1.4460606083184988,-2.3158940450115657,walking,0.7124552946455974,9.527229615983885,0.2457690930831673,34.01884864917149,10.239684910629482,0.219460889697075,0.8586659881755547,8.257797561820727,10.102303992036395
18,-0.4881803393363952,0.3341612815856933,-0.063671238720417,9.181804305797725,1.037704702230322,-2.258934897205967,walking,0.5950107834869746,9.51236817142879,0.1691207387032777,34.68078408542395,10.107378954915765,0.21769029647111887,0.7122936305413893,7.96057411082208,10.200115306028254
